Average of vanilla samples
-----------------------------------------------------------------------------------------------------------------------
| deepresonance:resonating_ore           | Resonating Ore      | 2.26186    |
| immersiveengineering:ore               | Copper Ore          | 28.20163   |
| immersiveengineering:ore               | Bauxite Ore         | 5.91096    |
| immersiveengineering:ore               | Lead Ore            | 12.34002   |
| immersiveengineering:ore               | Silver Ore          | 11.56984   |
| immersiveengineering:ore               | Nickel Ore          | 3.61154    |
| immersiveengineering:ore               | Uranium Ore         | 1.3261     |
| minecraft:coal_ore                     | Coal Ore            | 19.12964   |
| minecraft:diamond_ore                  | Diamond Ore         | 0.522      |
| minecraft:emerald_ore                  | Emerald Ore         | 9.86832    |
| minecraft:gold_ore                     | Gold Ore            | 67.96188   |
| minecraft:iron_ore                     | Iron Ore            | 24.09468   |
| minecraft:lapis_ore                    | Lapis Lazuli Ore    | 0.02262    |
| minecraft:redstone_ore                 | Redstone Ore        | 56.67504   |
| primal:ore_zinc                        | Carbonate Zinc Ore  | 0.95634    |
| thermalfoundation:ore                  | Tin Ore             | 25.45326   |
-----------------------------------------------------------------------------------------------------------------------

| minecraft:gold_ore                      |   14 |    0 | Gold Ore                             |       509 | 0.0498
| minecraft:iron_ore                      |   15 |    0 | Iron Ore                             |    770002 | 75.4829    *
| primal:ore_zinc                         | 2145 |    0 | Carbonate Zinc Ore                   |      6488 | 0.6360

v1.1
| deepresonance:resonating_ore          | 1552 |    0 | Resonating Ore                       |     23399 | 2.2937
| immersiveengineering:ore              | 1798 |    4 | Nickel Ore                           |    280934 | 27.5398
| minecraft:coal_ore                    |   16 |    0 | Coal Ore                             |   1378298 | 135.1140     *
| minecraft:diamond_ore                 |   56 |    0 | Diamond Ore                          |    202996 | 19.8996      *
| minecraft:emerald_ore                 |  129 |    0 | Emerald Ore                          |     13840 | 1.3567       *
| minecraft:gold_ore                    |   14 |    0 | Gold Ore                             |       626 | 0.0613
| minecraft:iron_ore                    |   15 |    0 | Iron Ore                             |   1115502 | 109.3522     *
| minecraft:redstone_ore                |   73 |    0 | Redstone Ore                         |       167 | 0.0163
| primal:ore_zinc                       | 2145 |    0 | Carbonate Zinc Ore                   |      9455 | 0.9268

v1.0
| deepresonance:resonating_ore          | 1552 |    0 | Resonating Ore                       |     23665 | 2.3198 
| minecraft:coal_ore                    |   16 |    0 | Coal Ore                             |   4574330 | 448.4197     *
| minecraft:diamond_ore                 |   56 |    0 | Diamond Ore                          |   1069052 | 104.7987     *
| minecraft:emerald_ore                 |  129 |    0 | Emerald Ore                          |     52893 | 5.1850       *
| minecraft:gold_ore                    |   14 |    0 | Gold Ore                             |       856 | 0.0839
| minecraft:iron_ore                    |   15 |    0 | Iron Ore                             |    694519 | 68.0834      *
| minecraft:redstone_ore                |   73 |    0 | Redstone Ore                         |        41 | 0.0040
| primal:ore_zinc                       | 2135 |    0 | Carbonate Zinc Ore                   |      3474 | 0.3405       
